,pearson_train,pearson_dev,pearson_test,ktau_train,ktau_dev,ktau_test
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': False, 'stemmer': False}",0.2709666735853877,0.2687678321689487,0.25769518452332163,0.18901579131823573,0.19295015781000696,0.17739488173604748
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2833414014908615,0.28664477276184236,0.2800904845204544,0.1934439060503161,0.19530690980295903,0.19222577748039937
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': True, 'remove_stop': True, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.2845742470749456,0.2822649833207511,0.26894951760853536,0.19615437213596396,0.2016843409542844,0.18473292724891616
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.27813585704328125,0.2800511244401625,0.2703173420925961,0.19362409824216198,0.20161820533627026,0.18807275839091664
"{'lower': True, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.2755427699514237,0.27435298067186215,0.26500216548762534,0.19181069675835657,0.19785925257019624,0.18188633747021457
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': False, 'remove_stop': True, 'remove_tag': True, 'lemmatize': True, 'stemmer': False}",0.2778461241536321,0.27997031946016127,0.2674964113877284,0.19239241214924022,0.1992473509879517,0.1834729799145243
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': False, 'stemmer': True}",0.28000927301335127,0.2808617757333388,0.27648926911057686,0.1907773953151113,0.188842785587124,0.18936246337499535
"{'lower': True, 'keep_numbers': False, 'keep_expression': False, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.28007885411083466,0.28127873349612387,0.27669507376018215,0.19088275283241837,0.18938983959677605,0.18960697856516612
"{'lower': False, 'keep_numbers': True, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': False}",0.27526418116192997,0.2786313320590971,0.2725192680115936,0.18811901743844384,0.18918149522351482,0.18674204913267303
"{'lower': False, 'keep_numbers': True, 'keep_expression': False, 'remove_char': False, 'remove_stop': False, 'remove_tag': False, 'lemmatize': True, 'stemmer': True}",0.2730322281094909,0.27831251277910884,0.27444636048556964,0.18719901660420946,0.18998411512731703,0.18946109369399589
"{'lower': False, 'keep_numbers': True, 'keep_expression': True, 'remove_char': False, 'remove_stop': False, 'remove_tag': True, 'lemmatize': False, 'stemmer': True}",0.27280804735046965,0.27866651233610723,0.27633602974716237,0.1872202315089355,0.19037968901388758,0.19053394794961814
"{'lower': True, 'keep_numbers': False, 'keep_expression': True, 'remove_char': True, 'remove_stop': False, 'remove_tag': True, 'lemmatize': True, 'stemmer': True}",0.2808391250470518,0.2826765584684262,0.27791377785001653,0.1914352163415335,0.190594934155957,0.1906320731287361
