,keep_expression,keep_numbers,lemmatize,lower,remove_char,remove_stop,remove_tag,stemmer,pearson_train,kendal_train,pearson_dev,kendal_dev
26,True,True,False,False,False,True,False,True,0.4543777569650532,0.2945771039045729,0.46804945716361723,0.3128827934791102
27,True,True,False,False,False,True,False,False,0.4331899912950839,0.2860080663025903,0.4414335592911435,0.3013266159247059
28,True,True,False,False,False,False,True,True,0.47885387269288826,0.3024191022736696,0.5026209662278569,0.333592766747104
29,True,True,False,False,False,False,True,False,0.4683911953347246,0.300046314649797,0.4849728233340249,0.33053320780483325
30,True,True,False,False,False,False,False,True,0.47885387269288826,0.3024191022736696,0.5026209662278569,0.333592766747104
31,True,True,False,False,False,False,False,False,0.4683911953347246,0.300046314649797,0.4849728233340249,0.33053320780483325
32,True,False,False,True,True,True,True,True,0.5065749783867513,0.3285816368736474,0.5096944687994818,0.3476789442624391
33,True,False,False,True,True,True,True,False,0.46449454831210835,0.30747609500677914,0.48789941266057124,0.3299721550608213
34,True,False,False,True,True,True,False,True,0.5065749783867513,0.3285816368736474,0.5096944687994818,0.3476789442624391
35,True,False,False,True,True,True,False,False,0.46449454831210835,0.30747609500677914,0.48789941266057124,0.3299721550608213
36,True,False,False,True,True,False,True,True,0.5265916781006097,0.335670303597254,0.5549117687503771,0.3798299928344456
37,True,False,False,True,True,False,True,False,0.4889432869067819,0.3151195277674658,0.520692907076306,0.3578267939250193
38,True,False,False,True,True,False,False,True,0.5265916781006097,0.335670303597254,0.5549117687503771,0.3798299928344456
39,True,False,False,True,True,False,False,False,0.4889432869067819,0.3151195277674658,0.520692907076306,0.3578267939250193
40,True,False,False,True,False,True,True,True,0.44946608601608484,0.2961993447873435,0.44135025550673923,0.3011010818680559
41,True,False,False,True,False,True,True,False,0.4280390869903574,0.28486163525137775,0.4375769084371159,0.2978096203266936
42,True,False,False,True,False,True,False,True,0.44946608601608484,0.2961993447873435,0.44135025550673923,0.3011010818680559
43,True,False,False,True,False,True,False,False,0.4280390869903574,0.28486163525137775,0.4375769084371159,0.2978096203266936
44,True,False,False,True,False,False,True,True,0.4780837160051733,0.30325417159071844,0.5045948290556892,0.3365621917598284
45,True,False,False,True,False,False,True,False,0.46808805909803264,0.29951973446011176,0.48722686476812693,0.33369510024443905
46,True,False,False,True,False,False,False,True,0.4780837160051733,0.30325417159071844,0.5045948290556892,0.3365621917598284
47,True,False,False,True,False,False,False,False,0.46808805909803264,0.29951973446011176,0.48722686476812693,0.33369510024443905
48,True,False,False,False,True,True,True,True,0.5107733560080965,0.3295529171280205,0.5223944466836494,0.35468363400588454
49,True,False,False,False,True,True,True,False,0.467768574047179,0.30745171053228615,0.4805873478083777,0.3286900308049187
